Customer ID,last_purchase_date,first_purchase_date,frequency,monetary,total_items,total_unique_products,avg_unit_price,country,recency,days_since_first_purchase,avg_order_value,avg_items_per_order,avg_days_between_orders,is_weekend_shopper,favorite_hour,cancellation_rate,country_encoded,will_purchase
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.46,74285,27,6.1000000000000005,United Kingdom,162,562,6463.038333333334,6190.416666666667,57.142857142857146,0.0,13,0.8235,38,0
12347,2011-06-09 13:01:00,2010-10-31 14:20:00,5,3529.27,2141,101,2.5527167630057805,Iceland,20,241,705.854,428.2,55.25,0.23121387283236994,14,0.0,16,1
12348,2011-04-05 10:47:00,2010-09-27 14:59:00,4,1388.3999999999999,2488,24,0.6727272727272727,Finland,85,275,347.09999999999997,622.0,63.333333333333336,0.0,14,0.0,12,1
12349,2010-10-28 08:23:00,2010-04-29 13:20:00,2,2221.14,991,89,4.2534,Italy,244,426,1110.57,495.5,182.0,0.0,8,1.0,18,1
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,196,16,1.58125,Norway,147,147,294.4,196.0,0.0,0.0,16,0.0,26,0
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,2.355238095238095,Unspecified,212,212,300.93,261.0,0.0,0.0,15,0.0,39,0
12352,2011-03-22 16:08:00,2010-11-12 10:20:00,6,985.3100000000001,437,36,3.4780392156862745,Norway,99,229,164.21833333333333,72.83333333333333,26.0,0.0,10,0.7692,26,1
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,212,23,2.6283333333333334,Bahrain,41,245,203.38,106.0,204.0,0.0,12,0.0,2,0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,4.5037931034482765,Spain,69,69,1079.4,530.0,0.0,0.0,13,0.0,32,0
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,543,35,3.069428571428572,Bahrain,51,404,473.805,271.5,353.0,0.0,11,0.0,2,0
