StockCode,description,avg_price,purchase_count,num_customers
10002,INFLATABLE POLITICAL GLOBE ,0.8413880126182964,297,164
10080,GROOVY CACTUS INFLATABLE,0.5092592592592593,26,23
10120,DOGGY RUBBER,0.21,62,52
10123C,HEARTS WRAPPING TAPE ,0.6240000000000001,46,39
10123G,ARMY CAMO WRAPPING TAPE,0.5592307692307693,12,12
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,18,18
10124G,ARMY CAMO BOOKCOVER TAPE,0.42000000000000004,9,9
10125,MINI FUNKY DESIGN TAPES,0.8176691729323309,120,87
10133,COLOURING PENCILS BROWN TUBE,0.6595283018867925,203,153
10134,COLOURING PENCILS BROWN TUBE,1.2426923076923078,48,44
10135,COLOURING PENCILS BROWN TUBE,1.2225193798449614,249,178
10138,ASSORTED COLOUR JUMBO PEN,0.42,16,14
11001,ASSTD DESIGN RACING CAR PEN,1.7272105263157895,178,118
15030,FAN BLACK FRAME ,0.29,26,23
15034,PAPER POCKET TRAVELING FAN ,0.13803370786516855,172,123
15036,ASSORTED COLOURS SILK FAN,0.7658034321372855,634,303
15039,SANDALWOOD FAN,0.8310752688172042,180,127
15044A,PINK PAPER PARASOL ,2.956564102564103,194,116
15044B,BLUE PAPER PARASOL ,2.920666666666667,148,97
15044C,PURPLE PAPER PARASOL,2.933030303030303,160,100
15044D,RED PAPER PARASOL,2.9334554973821994,188,105
15056BL,EDWARDIAN PARASOL BLACK,5.796563245823389,788,321
15056N,EDWARDIAN PARASOL NATURAL,5.78806598407281,863,347
15056P,EDWARDIAN PARASOL PINK,5.841798780487805,321,186
15058A,BLUE WHITE SPOTS GARDEN PARASOL,7.187383177570094,106,76
15058B,PINK WHITE SPOTS GARDEN PARASOL,7.488461538461539,91,65
15058C,ICE CREAM DESIGN GARDEN PARASOL,6.597887323943662,71,56
15060B,FAIRY CAKE DESIGN UMBRELLA,3.765177304964539,274,174
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.15732558139534883,85,64
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,4,4
16011,ANIMAL STICKERS,0.20956896551724136,112,83
16012,FOOD/DRINK SPONGE STICKERS,0.20941860465116277,82,67
16014,SMALL CHINESE STYLE SCISSOR,0.395,92,46
16015,MEDIUM CHINESE STYLE SCISSOR,0.48727272727272725,65,40
16016,LARGE CHINESE STYLE SCISSOR,0.8404587155963302,105,57
16020C,CLEAR STATIONERY BOX SET ,0.85,24,22
16033,MINI HIGHLIGHTER PENS,0.1163265306122449,49,43
16043,POP ART PUSH DOWN RUBBER ,0.31,12,11
16044,POP-ART FLUORESCENT PENS,0.24,2,2
16045,POPART WOODEN PENCILS ASST,0.04767123287671233,72,65
16046,TEATIME PEN CASE & PENS,0.7569230769230769,45,44
16047,POP ART PEN CASE & PENS,0.7858333333333333,23,21
16048,TEATIME ROUND PENCIL SHARPENER ,0.19183098591549294,69,59
16049,TEATIME GEL PENS ASST,0.27599999999999997,25,22
16050,TEATIME PENCIL WITH RUBBER,0.25,4,4
16051,TEATIME PENCIL W STAMP ASST,0.3,3,3
16052,TEATIME PUSH DOWN RUBBER,0.3871428571428571,21,18
16053,POPART COL BALLPOINT PEN ASST,0.16499999999999998,8,8
16054,POPART RECT PENCIL SHARPENER ASST,0.16054054054054054,37,32
16119,FUNKY GIRL ADDRESS BOOK,1.0014285714285713,7,7
16151A,FLOWERS HANDBAG blue and orange,2.25,5,5
16156L,"WRAP, CAROUSEL",0.42,36,33
16156N,"WRAP, FRIENDSHIP ON GREEN",0.42,55,51
16156S,WRAP PINK FAIRY CAKES ,0.41534441805225647,417,271
16161C,WRAP SPEED DEMONS ,0.1,2,2
16161E,WRAP BOUDOIR ,0.1,9,8
16161G,WRAP BAD HAIR DAY,0.1,33,31
16161M,WRAP  PINK FLOCK,0.418,39,36
16161P,WRAP ENGLISH ROSE ,0.4189639639639639,440,289
16161U,WRAP SUKI AND FRIENDS,0.41805642633228834,317,203
16162L,THE KING GIFT BAG,0.5182352941176471,17,16
16162M,THE KING GIFT BAG 25x24x12cm,0.42,12,10
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.3903703703703703,53,42
16168S,FUNKY MONKEY GIFT BAG SMALL,0.1757142857142857,7,4
16169C,WRAP BLUE REINDEER,0.42,43,42
16169D,WRAP WINTER FOREST,0.42,9,9
16169E,WRAP 50'S  CHRISTMAS,0.41919999999999996,149,143
16169F,WRAP BLIZZARD,0.42,34,34
16169K,WRAP FOLK ART,0.3625,59,56
16169M,WRAP DAISY CARPET ,0.35483333333333333,59,56
16169N,WRAP BLUE RUSSIAN FOLKART,0.35140350877192983,56,52
16169P,WRAP GREEN RUSSIAN FOLKART ,0.3577083333333333,48,46
16201A,PASTEL PINK PHOTO ALBUM,2.55,8,7
16201B,PASTEL BLUE PHOTO ALBUM,1.95,2,2
16202A,PASTEL PINK PHOTO ALBUM ,3.787,19,16
16202B,PASTEL BLUE PHOTO ALBUM ,3.191111111111111,18,13
16202C,BEIGE PHOTO ALBUM,3.0300000000000002,10,10
16202E,BLACK PHOTO ALBUM ,2.723076923076923,13,12
16206B,RED PURSE WITH PINK HEART,1.23125,16,14
16207A,PINK STRAWBERRY HANDBAG ,2.95,19,17
16207B,PINK HEART RED HANDBAG,2.5200000000000005,13,12
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.65,30,29
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,0.65,3,3
16216,LETTER SHAPE PENCIL SHARPENER,0.12607594936708863,78,69
16218,CARTOON  PENCIL SHARPENERS,0.098,70,60
16219,HOUSE SHAPE PENCIL SHARPENER,0.12515151515151515,66,58
16225,RATTLE SNAKE EGGS,1.1849137931034481,112,90
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21160714285714283,160,124
16236,KITTY PENCIL ERASERS,0.20965986394557823,143,108
16237,SLEEPING CAT ERASERS,0.2077715877437326,340,209
16238,PARTY TIME PENCIL ERASERS,0.2245390070921986,135,104
16239,BALLERINA HEART DECORATION.,2.6884615384615387,13,13
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,3.483333333333333,6,6
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2.91875,8,8
16245A,PINK MINI STATIONERY SET W CASE,1.25,7,7
16248B,BLUE HOLE PUNCH,1.25,12,12
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0.898,19,17
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.42000000000000004,20,17
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42000000000000004,10,8
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.4243037974683544,74,58
16258B,DAISY ERASERS IN BAG,0.29733333333333334,13,13
16259,PIECE OF CAMO STATIONERY SET,0.14618181818181816,55,46
